rh.aparc.DKTatlas.thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness
sub-0016	2.378	2.177	1.534	3.062	2.568	1.859	2.418	2.061	1.895	2.593	1.763	2.48	2.485	2.372	2.303	1.977	2.544	2.052	1.515	1.652	2.14	2.054	2.128	2.57	1.931	2.314	1.782	2.395	1.836	1.854	2.615	2.09783
sub-0061	2.071	2.543	1.884	3.633	2.696	2.287	2.748	2.065	2.255	2.737	1.971	2.758	2.533	2.733	2.335	2.304	2.472	2.174	1.879	1.932	2.14	2.423	2.269	2.908	2.289	2.472	2.137	2.447	2.259	2.044	2.828	2.34956
sub-0081	2.088	2.38	1.693	3.46	2.811	2.277	2.873	2.224	2.184	2.508	2.228	2.5	2.533	2.925	2.094	2.448	2.456	2.29	1.781	1.921	1.994	2.438	2.149	2.623	2.158	2.424	2.1	2.597	2.4	1.894	2.896	2.33772
sub-0115	2.155	2.403	1.627	3.202	2.427	2.228	2.659	2.033	2.104	2.429	1.718	2.627	2.58	2.779	2.149	2.322	2.547	2.384	1.659	2.005	2.275	2.436	1.977	2.673	2.288	2.448	1.88	2.739	2.44	2.266	2.622	2.28931
sub-0119	2.229	2.426	1.825	3.355	2.565	2.284	2.65	1.935	2.251	2.53	1.744	2.477	2.764	2.388	2.324	2.51	2.506	2.441	1.779	1.965	1.978	2.459	2.145	2.915	2.429	2.473	2.141	2.6	2.333	2.404	3.064	2.34967
sub-0122	2.075	2.252	1.891	3.208	2.739	2.23	2.717	1.716	2.361	2.491	1.799	2.36	2.697	2.384	2.056	2.133	2.206	2.039	1.927	1.616	2.144	2.3	1.951	2.697	2.071	2.314	1.805	2.593	2.205	2.017	2.717	2.22594
sub-0134	2.626	2.395	1.772	3.554	2.789	2.402	2.893	2.236	2.265	2.773	2.044	2.642	2.924	2.912	2.091	2.611	2.886	2.562	1.65	1.966	2.396	2.307	2.203	2.916	2.628	2.749	2.036	2.849	2.486	2.164	3.087	2.47863
sub-0139	2.207	2.31	1.694	2.954	2.29	1.843	2.494	2.005	1.865	2.343	1.716	2.28	2.416	2.204	1.755	2.078	2.144	2.003	1.588	1.702	2.077	1.965	1.952	2.486	1.996	2.214	1.764	2.258	1.91	1.753	2.43	2.04308
sub-0140	2.109	2.265	2.005	2.832	2.261	2.132	2.388	2.081	1.956	2.579	1.712	2.404	2.395	2.443	1.897	2.109	2.284	2.193	1.595	1.645	2.227	2.198	1.915	2.845	2.112	2.253	1.965	2.376	2.175	2.197	2.645	2.15647
sub-0141	1.743	1.827	1.38	2.17	2.14	1.72	2.375	1.77	1.703	2.586	1.664	2.298	2.131	2.012	1.892	2.092	2.277	1.956	1.625	1.42	1.778	1.895	1.726	2.087	1.961	2.057	1.288	2.084	1.892	1.251	2.246	1.8876
sub-0142	1.946	2.18	1.557	2.991	2.565	2.006	2.447	2.092	1.96	2.7	1.774	2.574	2.404	2.571	1.983	2.007	2.478	1.987	1.415	1.594	2.055	2.003	1.97	2.359	2.023	2.223	1.656	2.377	1.928	1.662	2.562	2.07833
sub-0143	2.133	2.255	1.736	2.949	2.467	2.141	2.648	2.023	2.028	2.579	1.797	2.394	2.539	2.664	1.934	2.244	2.682	2.155	1.602	1.764	2.174	2.268	1.938	2.662	2.223	2.339	1.68	2.511	2.071	1.886	2.815	2.18286
sub-0144	2.093	2.491	1.921	3.683	2.81	2.333	2.766	2.186	2.544	2.588	2.002	2.375	2.829	2.72	2.327	2.462	2.635	2.417	1.684	1.8	2.206	2.529	2.137	2.625	2.357	2.445	2.02	2.673	2.361	2.331	2.918	2.38872
sub-0145	2.663	2.448	2.087	3.772	2.705	2.575	2.982	2.41	2.511	2.75	2.173	2.585	2.767	3.096	2.356	2.184	2.623	2.399	1.799	1.865	2.529	2.331	2.232	2.804	2.36	2.619	1.984	2.302	2.338	2.04	2.804	2.42271
sub-0146	2.056	2.186	1.696	3.476	2.345	1.877	2.538	2.008	1.913	2.46	1.805	2.453	2.403	2.501	1.896	2.128	2.243	2.145	1.697	1.733	2.02	1.952	2.004	2.541	2.008	2.183	1.784	2.25	1.986	1.66	2.46	2.0761
sub-0147	2.008	2.21	1.826	2.995	2.475	2.342	2.717	2.148	2.218	2.519	1.826	2.348	2.634	2.439	2.047	2.283	2.511	2.156	1.633	1.861	2.134	2.272	2.057	2.517	2.079	2.256	2.026	2.412	2.109	1.58	2.806	2.23529
sub-0178	1.685	2.357	1.482	3.172	2.646	2.164	2.724	1.866	1.866	2.904	1.68	2.777	2.547	2.605	1.972	2.243	2.389	2.352	1.412	1.55	2.398	2.071	1.899	2.364	2.186	2.331	1.585	2.5	1.955	2.228	2.75	2.14758
sub-1012	1.683	1.743	1.347	2.059	2.08	1.602	2.282	1.659	1.644	2.506	1.648	2.269	2.039	1.879	1.824	1.988	2.217	1.878	1.6	1.381	1.728	1.826	1.678	2.033	1.898	1.989	1.258	2.014	1.829	1.187	2.172	1.82376
sub-1120	1.923	2.246	1.751	3.66	2.535	2.179	2.695	1.952	2.168	2.597	1.837	2.339	2.494	2.511	1.871	2.158	2.556	2.087	1.703	1.77	1.967	2.271	1.975	2.707	2.176	2.267	1.886	2.303	2.048	1.863	2.666	2.19572
sub-1160	1.965	2.138	1.619	3.03	2.288	2.039	2.505	2.037	1.981	2.374	1.665	2.311	2.309	2.142	2.133	1.975	2.169	1.996	1.643	1.613	2.008	2.27	2.093	2.472	2.063	2.312	1.96	2.403	1.842	1.857	2.439	2.10537
sub-1230	1.91	2.234	1.61	2.217	2.427	1.988	2.56	1.707	2.15	2.477	1.662	2.217	2.355	2.257	2.591	1.919	2.4	1.906	1.393	1.753	2.043	2.133	2.239	2.167	1.893	2.279	1.999	2.181	1.818	2.042	2.665	2.11532
sub-1310	2.265	2.4	1.971	3.427	2.726	2.314	2.814	2.385	2.292	2.501	1.871	2.221	2.725	2.35	2.357	2.44	2.428	2.411	1.806	1.901	2.239	2.433	2.289	2.586	2.261	2.437	2.078	2.719	2.405	2.036	2.761	2.35684
sub-1340	2.084	2.214	1.853	3.701	2.674	2.219	2.741	2.006	2.111	2.351	2.034	2.448	2.599	2.762	2.134	2.189	2.136	2.004	1.7	1.559	2.392	2.257	2.172	2.49	1.941	2.235	1.902	2.481	2.132	2.042	2.736	2.20488
sub-1450	1.966	2.294	1.717	3.484	2.506	2.3	2.718	2.137	2.14	2.49	1.735	2.539	2.691	2.359	2.257	2.394	2.457	2.242	1.628	1.823	2.034	2.26	2.2	2.562	2.116	2.209	1.981	2.745	2.212	2.096	2.918	2.26326
sub-1500	1.923	1.944	1.523	3.136	2.202	2.034	2.482	1.76	2.026	2.517	1.629	2.463	2.36	2.087	1.956	2.417	2.648	2.208	1.457	1.557	1.86	2.128	1.892	2.391	2.031	2.046	1.62	2.398	2.069	1.751	2.826	2.06251
sub-1690	2.02	2.188	1.837	3.015	2.494	2.349	2.704	2.075	2.212	2.511	1.824	2.277	2.639	2.416	2.107	2.253	2.495	2.159	1.601	1.816	2.125	2.232	2.074	2.414	2.062	2.255	1.973	2.403	2.111	1.63	2.766	2.2234
sub-1890	2.018	2.176	1.784	3.469	2.498	2.004	2.586	1.951	1.989	2.549	1.841	2.3	2.598	2.055	2.173	2.312	2.507	2.34	1.765	1.627	2.03	2.243	2.0	2.427	2.149	2.223	1.596	2.542	1.957	2.567	2.828	2.15869
sub-1920	1.932	1.857	1.401	1.903	2.119	1.668	2.268	1.742	1.714	2.511	1.705	2.349	2.138	1.764	1.955	1.905	2.126	1.952	1.685	1.4	1.862	1.846	1.746	2.297	1.93	2.093	1.313	2.176	1.88	1.601	2.162	1.88667
sub-2400	2.117	2.254	1.744	3.114	2.484	2.144	2.604	2.04	2.027	2.565	1.778	2.286	2.544	2.695	1.9	2.237	2.651	2.198	1.578	1.759	2.144	2.253	1.896	2.625	2.209	2.311	1.677	2.494	2.078	1.911	2.837	2.17206
sub-3600	2.091	2.303	1.679	3.005	2.272	1.845	2.507	1.97	1.878	2.371	1.704	2.215	2.43	2.198	1.74	2.107	2.147	1.988	1.562	1.717	2.064	1.981	1.96	2.431	1.975	2.214	1.813	2.259	1.945	1.766	2.426	2.04642
sub-3700	2.013	2.222	1.908	2.838	2.206	2.044	2.324	2.027	1.901	2.52	1.692	2.423	2.306	2.41	1.804	2.074	2.201	2.141	1.561	1.607	2.113	2.141	1.901	2.738	2.072	2.231	1.897	2.322	2.112	1.969	2.635	2.10131
sub-3900	1.913	2.111	1.59	3.153	2.66	1.977	2.468	2.13	1.947	2.734	1.817	2.58	2.453	2.649	1.969	2.018	2.51	1.988	1.494	1.538	2.031	1.952	2.008	2.297	2.06	2.25	1.537	2.374	1.929	1.721	2.572	2.07738
sub-4200	2.716	2.455	2.076	3.587	2.77	2.606	3.032	2.47	2.538	2.777	2.193	2.762	2.78	3.154	2.369	2.141	2.584	2.309	1.791	1.922	2.503	2.381	2.262	2.841	2.383	2.628	2.013	2.292	2.366	2.053	2.85	2.44349
sub-4300	2.226	2.194	1.691	3.447	2.395	1.903	2.558	2.013	1.942	2.481	1.77	2.414	2.433	2.495	1.916	2.129	2.263	2.141	1.644	1.712	2.057	1.953	2.024	2.583	1.985	2.188	1.788	2.275	2.03	1.66	2.441	2.08448
sub-4700	2.407	2.632	1.971	3.269	2.721	2.319	2.679	2.384	2.177	2.745	2.006	2.595	2.799	2.515	2.137	2.586	2.689	2.639	1.714	1.968	2.26	2.555	2.325	2.822	2.61	2.681	1.996	2.762	2.525	2.121	3.17	2.45112
sub-5700	1.975	2.294	1.924	3.503	2.523	2.24	2.736	2.016	2.155	2.488	1.752	2.276	2.642	2.651	2.11	2.416	2.281	2.326	1.701	1.771	2.094	2.445	2.067	2.449	2.154	2.329	1.912	2.634	2.276	2.121	2.977	2.26575
sub-7000	2.288	2.426	1.837	3.461	2.761	2.434	2.7	2.205	2.264	2.483	2.009	2.308	2.732	2.311	2.325	2.438	2.513	2.379	1.829	1.944	2.328	2.425	2.449	2.728	2.341	2.506	2.102	2.678	2.28	1.822	2.879	2.37964
sub-7400	2.428	2.078	1.961	3.463	2.859	2.363	2.624	2.228	2.401	2.558	1.987	2.374	2.642	2.75	2.301	2.174	2.556	2.118	1.887	1.734	2.371	2.157	2.159	2.779	2.085	2.426	1.964	2.556	2.205	1.834	2.549	2.29924
sub-7800	2.214	2.173	1.262	3.652	2.648	1.878	2.871	2.202	1.823	2.775	1.71	2.646	2.691	2.789	1.728	2.1	2.417	2.317	1.335	1.441	2.103	1.877	1.657	3.0	2.374	2.486	1.382	2.59	2.013	1.727	2.833	2.09756
sub-8000	1.997	2.106	1.859	2.857	2.359	2.125	2.314	1.872	1.974	2.208	1.891	2.157	2.376	2.09	1.969	2.281	2.374	2.191	1.655	1.792	2.163	2.03	2.137	2.384	2.076	2.156	1.993	2.408	2.027	2.022	2.554	2.12128
