lh.aparc.a2009s.thickness	lh_G&S_frontomargin_thickness	lh_G&S_occipital_inf_thickness	lh_G&S_paracentral_thickness	lh_G&S_subcentral_thickness	lh_G&S_transv_frontopol_thickness	lh_G&S_cingul-Ant_thickness	lh_G&S_cingul-Mid-Ant_thickness	lh_G&S_cingul-Mid-Post_thickness	lh_G_cingul-Post-dorsal_thickness	lh_G_cingul-Post-ventral_thickness	lh_G_cuneus_thickness	lh_G_front_inf-Opercular_thickness	lh_G_front_inf-Orbital_thickness	lh_G_front_inf-Triangul_thickness	lh_G_front_middle_thickness	lh_G_front_sup_thickness	lh_G_Ins_lg&S_cent_ins_thickness	lh_G_insular_short_thickness	lh_G_occipital_middle_thickness	lh_G_occipital_sup_thickness	lh_G_oc-temp_lat-fusifor_thickness	lh_G_oc-temp_med-Lingual_thickness	lh_G_oc-temp_med-Parahip_thickness	lh_G_orbital_thickness	lh_G_pariet_inf-Angular_thickness	lh_G_pariet_inf-Supramar_thickness	lh_G_parietal_sup_thickness	lh_G_postcentral_thickness	lh_G_precentral_thickness	lh_G_precuneus_thickness	lh_G_rectus_thickness	lh_G_subcallosal_thickness	lh_G_temp_sup-G_T_transv_thickness	lh_G_temp_sup-Lateral_thickness	lh_G_temp_sup-Plan_polar_thickness	lh_G_temp_sup-Plan_tempo_thickness	lh_G_temporal_inf_thickness	lh_G_temporal_middle_thickness	lh_Lat_Fis-ant-Horizont_thickness	lh_Lat_Fis-ant-Vertical_thickness	lh_Lat_Fis-post_thickness	lh_Pole_occipital_thickness	lh_Pole_temporal_thickness	lh_S_calcarine_thickness	lh_S_central_thickness	lh_S_cingul-Marginalis_thickness	lh_S_circular_insula_ant_thickness	lh_S_circular_insula_inf_thickness	lh_S_circular_insula_sup_thickness	lh_S_collat_transv_ant_thickness	lh_S_collat_transv_post_thickness	lh_S_front_inf_thickness	lh_S_front_middle_thickness	lh_S_front_sup_thickness	lh_S_interm_prim-Jensen_thickness	lh_S_intrapariet&P_trans_thickness	lh_S_oc_middle&Lunatus_thickness	lh_S_oc_sup&transversal_thickness	lh_S_occipital_ant_thickness	lh_S_oc-temp_lat_thickness	lh_S_oc-temp_med&Lingual_thickness	lh_S_orbital_lateral_thickness	lh_S_orbital_med-olfact_thickness	lh_S_orbital-H_Shaped_thickness	lh_S_parieto_occipital_thickness	lh_S_pericallosal_thickness	lh_S_postcentral_thickness	lh_S_precentral-inf-part_thickness	lh_S_precentral-sup-part_thickness	lh_S_suborbital_thickness	lh_S_subparietal_thickness	lh_S_temporal_inf_thickness	lh_S_temporal_sup_thickness	lh_S_temporal_transverse_thickness	lh_MeanThickness_thickness
sub-0016	1.8	2.447	2.0	2.589	1.729	2.148	2.072	1.785	2.454	1.891	1.813	2.474	2.59	2.262	1.845	2.139	2.749	2.89	2.213	2.647	2.92	1.849	2.58	2.368	2.249	2.6	2.22	1.844	2.433	2.209	2.444	2.179	2.003	3.038	2.797	2.123	2.984	2.865	2.157	2.135	2.165	2.059	3.365	1.787	1.888	1.507	2.691	2.185	2.369	2.685	1.936	1.805	1.701	2.006	2.425	2.007	1.982	2.106	2.184	2.19	2.3	2.514	2.168	2.358	1.589	1.489	1.858	2.02	2.113	1.996	1.621	2.354	2.179	2.019	2.17948
sub-0061	2.354	2.531	2.355	2.437	2.439	2.462	1.993	2.316	2.581	2.492	1.988	2.57	2.388	2.365	2.439	2.562	2.927	3.251	2.581	2.26	2.886	2.085	3.577	2.768	2.713	2.574	2.482	2.188	2.79	2.558	2.512	2.565	1.817	2.737	3.164	2.036	2.965	2.921	1.969	2.33	2.231	2.187	3.373	2.001	2.068	2.079	2.564	2.418	2.439	2.49	2.109	2.104	2.021	2.491	2.17	2.292	2.199	2.32	2.343	2.503	2.507	1.92	2.511	2.558	2.108	1.46	2.126	2.365	2.439	2.006	2.084	2.478	2.23	1.776	2.41493
sub-0081	2.207	2.394	2.244	2.499	2.223	2.492	2.207	2.391	2.803	2.646	1.9	2.366	2.594	2.305	2.32	2.565	2.806	3.626	2.492	2.144	2.936	2.145	3.216	2.646	2.579	2.664	2.286	2.263	2.717	2.403	2.692	3.036	2.14	2.836	3.348	2.316	3.169	2.816	2.207	2.019	2.203	2.248	3.626	2.111	2.023	1.913	2.747	2.687	2.489	2.899	2.568	2.098	1.987	2.234	1.993	2.11	2.121	2.159	2.248	2.553	2.453	1.958	2.363	2.586	2.305	1.585	2.083	2.356	2.329	2.48	2.172	2.522	2.314	1.839	2.41504
sub-0115	2.502	2.232	2.227	2.313	2.343	2.556	2.294	2.374	2.735	2.812	1.825	2.332	2.577	2.51	2.35	2.45	2.824	2.874	2.332	1.985	2.626	1.882	3.083	2.622	2.465	2.486	1.882	1.949	2.613	2.234	2.705	2.347	2.608	2.751	3.364	2.171	2.748	2.802	2.012	2.121	2.201	1.808	3.102	1.717	2.023	1.966	2.543	2.646	2.16	2.08	1.835	2.123	2.032	2.196	2.195	1.845	1.942	1.851	1.889	2.385	2.123	2.099	2.302	2.37	1.933	1.728	1.85	2.16	2.11	2.624	2.15	2.226	2.088	2.178	2.27401
sub-0119	2.295	2.835	2.518	2.279	2.276	2.407	2.305	2.377	3.071	2.398	1.893	2.406	2.531	2.283	2.425	2.558	2.894	3.267	2.606	2.299	2.746	2.054	3.167	2.663	2.378	2.407	2.307	2.22	2.631	2.452	2.629	2.452	2.298	2.65	2.773	2.393	2.908	2.949	2.107	2.071	2.459	2.063	3.236	1.99	2.034	2.043	2.541	2.469	2.482	2.201	2.16	2.2	2.132	2.168	2.668	2.039	2.073	2.207	2.389	2.663	2.363	2.101	2.587	2.589	2.205	1.6	1.992	2.263	2.268	2.486	2.25	2.487	2.471	2.274	2.39066
sub-0122	2.048	2.434	2.008	1.935	2.176	2.312	2.203	2.136	2.411	1.997	1.961	1.991	2.225	1.98	2.215	2.326	2.733	3.622	2.407	1.882	2.81	1.887	2.941	2.577	2.423	2.227	2.047	1.513	2.496	2.262	2.561	2.051	1.964	2.302	2.872	2.521	2.83	2.728	1.549	1.77	1.964	1.964	3.197	1.935	1.734	1.878	2.326	2.124	2.061	2.48	1.911	1.702	1.734	1.961	2.095	1.961	2.264	1.968	2.105	2.272	2.101	1.648	2.234	2.252	1.796	1.431	1.851	2.17	2.37	2.061	1.962	2.252	2.094	1.751	2.17613
sub-0134	2.879	2.575	2.13	2.552	3.192	2.85	2.494	2.433	3.047	2.841	1.978	2.589	2.724	2.889	2.601	2.633	3.038	3.588	2.491	2.051	3.089	2.114	3.598	2.739	2.545	2.757	2.383	2.19	2.502	2.359	2.848	2.331	2.352	3.058	3.332	2.723	3.197	3.03	2.44	2.209	2.132	2.268	3.741	2.079	1.942	1.941	2.808	2.503	2.581	2.706	2.232	2.235	2.446	2.375	2.323	2.051	2.196	1.889	2.376	2.898	2.509	2.371	2.327	2.873	2.181	1.649	2.092	2.418	2.312	2.597	2.422	2.609	2.489	2.29	2.50792
sub-0139	1.789	2.074	1.909	1.959	1.847	2.216	2.029	2.133	2.504	2.215	1.717	2.255	2.478	2.118	2.152	2.316	2.497	3.389	2.12	1.751	2.534	1.788	2.848	2.099	2.23	2.211	1.895	1.791	2.261	2.194	2.281	2.218	1.778	2.372	2.893	2.152	2.921	2.87	1.849	1.742	1.8	1.821	3.108	1.729	1.642	1.914	2.488	2.036	1.886	2.415	1.887	1.875	1.693	1.886	2.04	1.888	1.91	1.719	1.936	2.065	2.008	1.773	2.001	1.844	1.813	1.365	1.739	2.054	2.02	2.27	1.985	2.175	2.039	1.704	2.07116
sub-0140	1.958	2.124	2.174	1.952	2.109	2.36	2.355	2.321	2.674	2.051	2.043	2.104	2.062	2.036	2.022	2.339	2.73	2.929	2.092	2.068	2.434	1.639	3.065	2.539	2.435	2.255	2.112	1.729	2.385	2.198	2.168	2.085	2.097	2.424	2.918	2.458	2.738	2.376	1.775	1.757	1.846	1.743	2.747	1.794	1.721	2.0	2.285	2.311	2.131	1.835	1.584	1.895	1.848	2.145	2.418	1.999	1.906	1.996	1.843	2.039	1.856	1.875	2.107	2.207	1.981	1.742	1.913	2.123	2.2	1.965	1.72	2.238	1.992	1.733	2.12202
sub-0141	1.978	2.229	1.737	2.266	2.068	2.414	2.073	2.165	2.151	2.041	1.541	2.106	1.938	2.16	1.809	2.16	2.436	2.551	1.846	1.5	2.326	1.829	2.431	2.537	1.841	2.194	1.443	1.28	1.782	1.808	2.51	2.938	1.387	2.49	2.693	1.886	2.445	2.428	1.504	2.445	1.785	1.549	2.54	1.676	1.361	1.558	2.172	1.908	2.154	1.986	1.932	1.668	1.572	1.68	1.851	1.42	1.614	1.753	1.755	2.122	2.164	2.037	2.425	2.466	1.636	1.558	1.294	1.896	1.492	1.882	1.684	2.183	1.867	1.364	1.92485
sub-0142	1.731	2.216	2.008	2.074	2.074	2.269	1.936	2.2	2.74	2.288	1.736	2.191	2.803	2.16	2.072	2.277	2.685	2.695	2.344	1.891	2.496	1.608	2.375	2.575	2.142	2.438	2.19	1.891	2.068	2.395	2.42	2.21	1.697	2.504	2.661	1.812	2.736	2.544	2.447	2.066	1.757	1.876	3.019	1.65	1.589	1.967	2.438	1.823	2.187	2.717	1.841	1.897	1.829	1.905	2.346	2.023	1.983	2.072	2.199	2.122	1.983	1.714	2.692	2.502	2.022	1.817	1.82	1.902	1.953	2.002	2.349	2.308	2.155	1.862	2.13373
sub-0143	1.984	2.457	1.97	2.101	2.011	2.389	2.364	2.25	2.547	2.259	1.517	2.14	2.14	2.109	2.111	2.415	2.82	3.2	2.473	1.667	2.571	1.765	2.695	2.551	2.467	2.332	1.97	1.892	2.258	2.023	2.162	2.272	2.447	2.695	3.21	2.716	2.871	2.581	1.949	1.873	2.221	1.806	3.186	1.697	1.784	1.776	2.366	2.41	2.166	2.295	2.502	1.936	1.982	1.939	2.539	1.8	2.057	2.033	2.393	2.428	2.236	1.949	2.245	2.302	1.845	1.723	1.787	2.13	2.031	2.38	1.944	2.337	2.282	2.067	2.1813
sub-0144	2.272	2.684	2.371	2.165	2.528	2.547	2.281	2.366	2.916	2.823	1.958	2.205	2.161	2.182	2.194	2.54	2.773	2.856	2.703	1.991	2.763	1.97	3.227	2.463	2.491	2.32	1.963	1.83	2.539	2.361	2.355	2.307	2.316	2.611	3.128	2.474	3.034	2.915	1.847	2.05	2.224	2.169	3.333	1.967	1.911	2.062	2.644	2.386	2.305	2.514	2.332	1.935	1.983	2.198	2.37	1.998	2.235	2.201	2.369	2.477	2.367	2.052	2.287	2.51	2.179	1.739	1.859	2.029	2.335	2.504	2.351	2.549	2.4	2.151	2.336
sub-0145	2.472	2.679	2.138	2.618	2.255	2.605	2.271	2.28	2.588	2.49	1.851	2.34	2.748	2.209	2.367	2.484	2.948	3.702	2.654	2.219	3.191	2.105	3.367	2.993	2.595	2.647	2.205	2.028	2.58	2.24	2.819	2.472	1.956	2.875	2.574	2.349	3.217	3.039	2.297	2.144	2.043	2.34	3.279	2.126	1.877	1.734	3.076	2.316	2.216	2.19	2.344	2.211	2.06	2.164	2.352	2.082	2.205	2.204	2.411	2.567	2.495	2.348	2.569	2.612	1.944	1.364	2.1	2.115	2.131	2.502	1.953	2.673	2.284	1.791	2.38123
sub-0146	1.808	2.147	1.897	2.092	2.031	2.274	2.101	2.106	2.583	2.261	1.689	2.315	2.51	2.117	2.048	2.261	2.402	3.394	2.192	1.737	2.611	1.823	3.014	2.328	2.298	2.251	1.942	1.79	2.131	2.266	2.441	2.551	1.721	2.416	2.287	2.076	2.805	2.875	1.795	1.638	1.838	1.807	3.098	1.723	1.507	1.945	2.556	1.891	2.077	2.548	1.851	1.802	1.591	1.898	2.042	1.904	1.953	1.821	2.051	2.107	2.067	1.816	2.235	2.141	1.887	1.481	1.703	2.017	1.889	2.039	1.97	2.301	2.052	1.552	2.08678
sub-0147	1.983	2.464	2.234	2.239	2.118	2.617	2.237	2.183	2.822	2.332	1.799	2.433	2.577	2.214	2.236	2.509	3.283	3.477	2.647	2.186	2.903	1.979	2.865	2.594	2.531	2.364	2.19	1.899	2.536	2.059	2.472	2.612	2.031	2.765	2.711	2.078	2.826	3.011	2.431	1.91	2.128	1.948	3.065	1.727	1.799	1.799	2.485	2.242	2.297	2.859	2.003	1.939	1.946	2.042	1.9	2.021	2.308	2.13	2.279	2.437	2.234	2.001	2.434	2.354	2.031	1.564	2.034	2.119	2.086	2.134	2.191	2.363	2.295	1.832	2.2783
sub-0178	2.424	2.545	2.009	2.422	1.866	2.935	2.684	2.796	2.98	1.671	1.607	2.375	2.467	2.236	2.119	2.394	2.638	3.463	2.637	2.109	2.9	1.763	3.033	2.507	2.66	2.492	2.288	1.752	2.194	2.473	2.688	2.504	2.238	3.055	2.539	2.332	2.888	2.966	2.155	2.215	2.268	1.813	3.314	1.749	1.757	2.097	2.506	2.209	2.33	2.24	1.81	1.799	1.754	2.008	2.808	2.219	2.076	2.187	2.315	2.449	2.295	1.5	2.517	2.79	2.11	1.71	1.976	2.01	2.112	2.085	2.286	2.559	2.412	2.438	2.30053
sub-1012	1.934	2.221	1.814	2.295	2.128	2.377	2.073	2.132	2.137	2.19	1.583	2.126	2.021	2.178	1.843	2.141	2.523	2.811	1.843	1.486	2.329	1.858	2.585	2.527	1.895	2.191	1.457	1.314	1.77	1.722	2.431	2.58	1.41	2.475	2.799	1.975	2.418	2.308	1.589	2.471	1.817	1.506	2.774	1.688	1.371	1.573	2.239	1.895	2.153	2.041	2.047	1.656	1.598	1.69	1.56	1.426	1.606	1.709	1.87	2.103	2.193	2.042	2.424	2.522	1.633	1.538	1.313	1.923	1.489	1.892	1.693	2.177	1.872	1.386	1.9328
sub-1120	2.086	2.593	2.104	2.072	2.199	2.326	2.039	2.318	2.696	2.629	1.788	2.264	2.33	2.281	2.174	2.344	2.979	3.431	2.249	1.939	2.673	2.014	3.153	2.351	2.373	2.336	2.031	1.728	2.432	2.317	2.408	1.933	1.972	2.458	3.16	2.285	2.629	2.863	1.826	2.132	1.938	2.006	3.192	1.865	1.89	1.708	2.499	2.189	2.164	2.217	1.91	2.041	1.854	1.887	2.659	1.897	1.984	1.987	2.232	2.577	2.049	1.897	1.947	2.147	1.979	1.363	1.824	2.129	2.109	2.157	1.891	2.305	2.15	1.818	2.19944
sub-1160	2.185	2.36	2.382	2.325	2.268	2.505	2.216	2.128	2.742	2.664	1.941	2.223	2.515	2.21	2.217	2.532	2.708	2.844	2.359	1.826	2.838	1.855	2.569	2.446	2.43	2.31	2.046	1.822	2.53	2.394	2.523	2.587	2.205	2.559	2.87	2.288	2.925	2.684	2.312	1.906	1.983	1.981	3.145	1.939	1.818	1.823	2.426	2.288	2.115	2.568	1.806	2.116	1.812	2.047	1.866	1.897	1.922	1.937	2.045	2.276	2.148	1.774	2.175	2.286	2.013	1.683	1.888	1.94	2.033	2.568	2.261	2.157	2.132	2.037	2.22944
sub-1230	1.715	2.249	2.554	2.26	1.937	2.171	2.057	2.273	2.587	1.99	1.53	2.209	2.461	2.044	2.088	2.413	2.647	2.536	2.415	2.424	2.942	1.792	2.979	2.398	2.271	2.002	2.349	1.962	2.263	2.577	2.238	2.102	1.721	2.567	2.349	2.185	2.919	2.636	1.923	1.807	1.52	1.996	2.977	1.629	1.677	2.54	2.504	1.951	1.958	2.461	1.513	1.88	1.69	2.175	2.13	2.004	1.852	1.868	2.317	2.539	2.071	1.818	1.966	2.198	1.86	1.505	1.853	1.72	2.309	1.848	2.042	2.121	1.998	1.436	2.15966
sub-1310	2.162	2.535	2.244	2.391	2.378	2.455	2.341	2.369	2.978	2.652	2.05	2.387	2.405	2.282	2.184	2.464	2.771	3.231	2.743	2.142	3.064	1.866	2.899	2.546	2.555	2.472	2.328	2.095	2.668	2.492	2.546	2.5	1.981	2.672	2.862	2.195	3.06	3.107	2.365	2.04	2.288	2.21	3.293	1.919	1.95	2.065	2.51	2.277	2.465	2.853	2.307	2.143	1.981	2.221	2.251	2.091	2.462	2.412	2.275	2.571	2.493	1.995	2.377	2.438	2.277	1.863	2.143	2.224	2.276	2.185	2.39	2.598	2.437	2.197	2.38091
sub-1340	1.851	2.779	1.961	2.48	1.785	2.394	2.153	2.48	2.654	2.358	1.611	2.288	2.333	2.252	2.193	2.504	3.058	3.189	2.518	2.186	2.838	1.959	3.553	2.473	2.547	2.554	2.048	1.922	2.444	2.171	2.215	2.712	2.002	3.008	3.53	2.587	2.836	2.892	1.882	2.045	2.21	2.014	3.169	1.92	1.967	1.911	2.485	2.591	2.333	2.384	2.141	1.833	1.671	1.955	2.204	2.015	2.003	2.116	2.3	2.497	2.291	2.119	2.256	2.294	2.085	1.341	1.91	2.106	2.248	2.144	2.057	2.428	2.406	2.141	2.29203
sub-1450	1.871	2.597	2.159	2.261	1.993	2.502	2.266	2.37	2.85	2.043	1.837	2.268	2.488	2.089	2.125	2.529	3.093	3.504	2.572	2.349	2.634	1.77	3.208	2.447	2.355	2.552	2.162	1.862	2.434	2.368	2.516	2.411	2.074	2.922	3.562	2.325	2.858	2.465	2.042	1.963	2.065	2.118	3.076	1.766	1.731	1.932	2.317	2.443	2.205	2.102	2.155	1.975	1.7	2.035	2.113	1.864	2.201	1.999	2.165	2.186	2.024	1.935	2.264	2.199	2.144	1.439	1.892	2.081	2.192	2.255	2.131	2.363	2.249	1.842	2.25519
sub-1500	1.854	2.254	1.873	2.404	2.012	2.238	1.996	2.117	2.577	2.112	1.802	2.384	2.028	2.024	1.863	2.156	2.697	3.297	2.129	1.781	2.414	1.491	2.538	2.416	2.17	2.257	1.934	1.615	2.334	2.009	2.575	2.296	1.525	2.48	2.644	2.229	2.305	2.383	2.038	2.301	1.977	1.855	2.888	1.632	1.752	1.762	2.133	2.077	2.284	2.209	1.726	1.801	1.643	1.775	1.911	1.744	1.793	1.704	2.02	2.274	1.797	1.99	2.413	2.451	1.788	1.743	1.743	1.94	1.82	1.776	1.931	2.152	2.064	1.587	2.0434
