lh.aparc.a2009s.thickness	lh_G&S_frontomargin_thickness	lh_G&S_occipital_inf_thickness	lh_G&S_paracentral_thickness	lh_G&S_subcentral_thickness	lh_G&S_transv_frontopol_thickness	lh_G&S_cingul-Ant_thickness	lh_G&S_cingul-Mid-Ant_thickness	lh_G&S_cingul-Mid-Post_thickness	lh_G_cingul-Post-dorsal_thickness	lh_G_cingul-Post-ventral_thickness	lh_G_cuneus_thickness	lh_G_front_inf-Opercular_thickness	lh_G_front_inf-Orbital_thickness	lh_G_front_inf-Triangul_thickness	lh_G_front_middle_thickness	lh_G_front_sup_thickness	lh_G_Ins_lg&S_cent_ins_thickness	lh_G_insular_short_thickness	lh_G_occipital_middle_thickness	lh_G_occipital_sup_thickness	lh_G_oc-temp_lat-fusifor_thickness	lh_G_oc-temp_med-Lingual_thickness	lh_G_oc-temp_med-Parahip_thickness	lh_G_orbital_thickness	lh_G_pariet_inf-Angular_thickness	lh_G_pariet_inf-Supramar_thickness	lh_G_parietal_sup_thickness	lh_G_postcentral_thickness	lh_G_precentral_thickness	lh_G_precuneus_thickness	lh_G_rectus_thickness	lh_G_subcallosal_thickness	lh_G_temp_sup-G_T_transv_thickness	lh_G_temp_sup-Lateral_thickness	lh_G_temp_sup-Plan_polar_thickness	lh_G_temp_sup-Plan_tempo_thickness	lh_G_temporal_inf_thickness	lh_G_temporal_middle_thickness	lh_Lat_Fis-ant-Horizont_thickness	lh_Lat_Fis-ant-Vertical_thickness	lh_Lat_Fis-post_thickness	lh_Pole_occipital_thickness	lh_Pole_temporal_thickness	lh_S_calcarine_thickness	lh_S_central_thickness	lh_S_cingul-Marginalis_thickness	lh_S_circular_insula_ant_thickness	lh_S_circular_insula_inf_thickness	lh_S_circular_insula_sup_thickness	lh_S_collat_transv_ant_thickness	lh_S_collat_transv_post_thickness	lh_S_front_inf_thickness	lh_S_front_middle_thickness	lh_S_front_sup_thickness	lh_S_interm_prim-Jensen_thickness	lh_S_intrapariet&P_trans_thickness	lh_S_oc_middle&Lunatus_thickness	lh_S_oc_sup&transversal_thickness	lh_S_occipital_ant_thickness	lh_S_oc-temp_lat_thickness	lh_S_oc-temp_med&Lingual_thickness	lh_S_orbital_lateral_thickness	lh_S_orbital_med-olfact_thickness	lh_S_orbital-H_Shaped_thickness	lh_S_parieto_occipital_thickness	lh_S_pericallosal_thickness	lh_S_postcentral_thickness	lh_S_precentral-inf-part_thickness	lh_S_precentral-sup-part_thickness	lh_S_suborbital_thickness	lh_S_subparietal_thickness	lh_S_temporal_inf_thickness	lh_S_temporal_sup_thickness	lh_S_temporal_transverse_thickness	lh_MeanThickness_thickness
sub-0039	2.55	2.481	2.18	2.654	2.529	2.587	2.464	2.418	2.748	2.574	2.05	2.455	2.672	2.594	2.495	2.452	3.272	3.759	2.75	2.191	3.126	2.094	3.204	3.066	2.591	2.703	2.044	2.225	2.902	2.377	2.844	2.88	2.696	3.337	3.435	2.402	2.931	2.914	2.26	2.113	2.293	2.163	3.395	2.17	2.085	1.881	2.811	2.742	2.446	2.617	2.283	2.058	2.169	2.253	2.224	2.016	2.253	2.281	2.386	2.563	2.455	2.336	2.537	2.518	2.155	1.716	1.882	2.261	2.354	2.213	2.19	2.42	2.282	2.48	2.4506
sub-0041	2.325	2.56	2.386	2.627	2.507	2.63	2.628	2.712	2.905	2.676	1.892	2.594	2.606	2.392	2.519	2.765	2.976	3.392	2.651	2.26	2.816	1.846	3.344	2.809	2.67	2.725	2.255	2.087	2.894	2.43	2.502	2.202	2.428	2.958	2.858	2.527	2.935	3.04	2.226	2.36	2.623	1.984	3.268	2.01	2.145	2.412	2.731	2.382	2.621	2.516	2.403	2.302	2.32	2.419	2.549	2.246	2.24	2.386	2.259	2.457	2.416	1.804	2.358	2.604	2.361	1.764	2.163	2.469	2.585	2.175	2.428	2.499	2.461	2.497	2.48167
sub-0042	1.788	2.475	2.644	2.735	2.187	2.492	2.638	2.676	2.978	2.559	2.035	2.586	2.599	2.373	2.256	2.541	3.122	3.418	2.459	2.293	2.882	2.114	3.172	2.409	2.43	2.659	2.194	2.305	2.833	2.454	2.213	2.23	2.786	3.048	3.283	2.709	2.955	3.014	1.803	2.038	2.301	2.059	2.931	2.078	2.108	2.176	2.864	2.731	2.407	2.772	2.101	1.986	1.867	2.202	2.088	2.08	2.024	2.16	2.379	2.503	2.487	1.775	2.163	2.198	2.295	1.619	2.179	2.263	2.369	1.955	2.243	2.441	2.451	2.235	2.411
sub-0043	2.257	2.515	2.273	2.295	2.959	2.672	2.405	2.607	3.004	2.417	1.907	2.539	2.464	2.312	2.375	2.636	2.777	2.916	2.747	2.045	3.062	2.158	3.061	3.047	2.735	2.499	2.266	1.841	2.542	2.453	2.642	2.497	1.894	2.615	3.457	2.527	2.962	2.882	2.524	2.187	2.54	1.969	3.047	2.04	1.903	2.303	2.711	2.462	2.699	2.537	1.95	2.211	2.247	2.397	2.46	2.147	2.307	2.283	2.215	2.677	2.565	2.214	2.599	2.693	2.32	1.783	2.182	2.338	2.353	2.331	2.276	2.373	2.456	2.107	2.43945
sub-0044	2.206	2.463	2.275	2.69	2.372	2.762	2.796	2.624	3.028	2.588	1.953	2.951	2.511	2.537	2.687	2.963	3.28	3.793	2.527	2.15	2.928	2.176	3.239	2.545	2.705	2.714	2.244	2.24	3.02	2.532	2.55	2.416	2.513	3.171	3.398	2.492	2.879	3.263	2.307	2.37	2.482	1.864	3.058	1.856	1.985	2.257	3.022	2.946	2.8	2.759	2.089	2.335	2.151	2.622	2.352	2.054	2.063	2.141	2.283	2.454	2.685	2.066	2.904	2.683	2.336	1.606	2.097	2.638	2.503	2.404	2.175	2.725	2.594	2.302	2.55972
sub-0053	2.187	2.246	2.33	2.596	2.202	2.634	2.478	2.382	2.646	2.618	1.773	2.681	2.73	2.563	2.52	2.667	2.945	3.28	2.333	2.179	2.898	1.808	3.219	2.631	2.374	2.602	2.243	2.224	2.736	2.318	2.301	2.084	2.458	3.084	3.564	2.444	2.717	2.906	2.066	2.283	2.333	1.827	3.268	1.791	1.982	2.072	2.464	2.655	2.386	2.502	2.01	2.235	2.056	2.291	2.601	2.127	1.682	1.936	2.159	2.28	2.199	1.943	2.439	2.275	2.132	1.449	2.011	2.343	2.224	2.385	2.109	2.3	2.302	1.946	2.3691
sub-0057	2.166	2.548	1.864	2.426	2.628	2.389	2.121	2.119	2.397	2.325	1.971	2.537	2.462	2.351	2.275	2.375	3.29	3.981	2.374	2.131	3.023	2.036	3.435	2.899	2.602	2.498	2.279	1.809	2.189	2.265	2.853	2.366	2.355	2.488	3.567	2.061	3.092	2.581	2.358	1.92	2.018	2.156	3.445	2.162	1.606	1.93	2.3	3.629	2.412	2.697	2.135	1.85	2.046	2.043	2.29	2.044	2.091	2.044	2.292	2.338	2.382	2.146	2.718	2.643	2.103	1.536	1.939	1.994	2.101	2.083	2.066	2.288	2.185	2.116	2.29512
sub-0058	2.377	2.607	2.282	2.554	2.674	2.742	2.353	2.14	2.949	2.66	1.92	2.579	2.771	2.53	2.516	2.672	3.114	3.756	2.802	2.236	3.012	1.993	3.355	2.72	2.677	2.672	2.252	2.198	2.709	2.552	2.497	2.677	2.076	3.268	3.631	2.436	3.052	3.211	2.323	2.361	2.303	2.209	3.343	1.984	2.162	1.923	2.772	2.646	2.408	2.723	2.091	2.176	2.198	2.354	2.604	2.251	2.237	2.37	2.52	2.793	2.599	2.275	2.325	2.616	2.21	1.738	2.167	2.398	2.599	2.005	2.236	2.679	2.56	1.904	2.50827
sub-0060	2.237	2.767	2.268	2.775	2.482	2.772	2.721	2.584	2.908	3.227	1.808	2.936	2.7	2.578	2.531	2.717	3.636	3.743	2.656	2.345	3.062	2.089	3.552	2.835	2.798	2.774	2.176	2.085	2.651	2.456	2.892	2.471	2.354	3.262	3.616	2.473	3.164	3.123	2.052	2.491	2.46	2.306	3.333	1.977	2.059	2.037	2.824	2.908	2.726	2.572	2.213	2.133	2.278	2.376	2.677	2.188	2.276	2.272	2.43	2.725	2.611	2.364	2.356	2.73	2.212	1.976	2.094	2.36	2.272	2.388	2.209	2.698	2.528	2.486	2.5413
sub-0062	2.144	2.75	2.224	2.594	2.377	2.647	2.568	2.6	3.04	2.431	2.079	2.659	2.64	2.442	2.457	2.67	3.261	4.058	2.655	2.341	3.311	2.228	3.182	2.764	2.627	2.591	2.406	2.293	2.643	2.798	2.769	2.505	2.328	3.241	3.949	2.651	3.196	3.206	2.083	2.487	2.645	2.142	3.634	2.22	2.257	1.861	2.887	2.535	2.594	2.856	2.455	2.117	2.027	2.438	2.572	2.103	2.243	2.407	2.685	2.691	2.522	1.895	2.628	2.827	2.24	1.541	2.095	2.375	2.611	2.371	2.371	2.709	2.429	2.448	2.54206
