lh.BA_exvivo.meancurv	lh_BA1_exvivo_meancurv	lh_BA2_exvivo_meancurv	lh_BA3a_exvivo_meancurv	lh_BA3b_exvivo_meancurv	lh_BA4a_exvivo_meancurv	lh_BA4p_exvivo_meancurv	lh_BA6_exvivo_meancurv	lh_BA44_exvivo_meancurv	lh_BA45_exvivo_meancurv	lh_V1_exvivo_meancurv	lh_V2_exvivo_meancurv	lh_MT_exvivo_meancurv	lh_perirhinal_exvivo_meancurv	lh_entorhinal_exvivo_meancurv	BrainSegVolNotVent	eTIV
sub-0016	0.117	0.117	0.129	0.108	0.118	0.092	0.12	0.132	0.137	0.141	0.132	0.141	0.173	0.154	1139479.0	1826103.15575
sub-0061	0.111	0.105	0.133	0.113	0.095	0.093	0.119	0.109	0.125	0.126	0.128	0.126	0.096	0.113	1123551.0	1588960.31993
sub-0081	0.115	0.106	0.128	0.118	0.087	0.095	0.109	0.121	0.127	0.119	0.134	0.129	0.086	0.128	1062350.0	1543150.95008
sub-0119	0.117	0.109	0.134	0.107	0.086	0.105	0.108	0.123	0.128	0.121	0.136	0.133	0.119	0.123	1107517.0	1561030.35302
sub-0122	0.102	0.093	0.11	0.09	0.087	0.081	0.103	0.121	0.126	0.119	0.133	0.117	0.097	0.129	1019573.0	1551132.50624
sub-0134	0.135	0.117	0.135	0.124	0.109	0.114	0.124	0.111	0.145	0.143	0.147	0.132	0.111	0.177	1092548.0	1584051.21033
sub-0139	0.103	0.096	0.132	0.102	0.079	0.079	0.106	0.111	0.121	0.115	0.128	0.115	0.103	0.106	1084432.0	1675398.01476
sub-0140	0.113	0.094	0.118	0.101	0.119	0.103	0.114	0.11	0.131	0.131	0.137	0.126	0.142	0.15	1133888.0	1864168.92205
sub-0141	0.112	0.095	0.119	0.096	0.092	0.096	0.1	0.102	0.121	0.131	0.133	0.126	0.151	0.183	1103716.0	1776912.23698
sub-0142	0.133	0.106	0.12	0.104	0.126	0.145	0.125	0.115	0.124	0.137	0.142	0.134	0.126	0.101	953081.0	1571695.22621
sub-0143	0.108	0.105	0.133	0.114	0.104	0.107	0.107	0.108	0.141	0.131	0.136	0.128	0.094	0.135	981705.0	1522261.2378
sub-0145	0.13	0.109	0.131	0.112	0.11	0.094	0.119	0.126	0.144	0.122	0.145	0.132	0.116	0.153	861309.0	1308071.76882
sub-0146	0.112	0.098	0.131	0.105	0.082	0.086	0.106	0.108	0.121	0.118	0.131	0.116	0.1	0.125	1083115.0	1678452.56595
sub-0147	0.092	0.099	0.138	0.093	0.085	0.097	0.104	0.117	0.132	0.124	0.126	0.125	0.097	0.086	975130.0	1420751.78049
