lh.BA_exvivo.meancurv	lh_BA1_exvivo_meancurv	lh_BA2_exvivo_meancurv	lh_BA3a_exvivo_meancurv	lh_BA3b_exvivo_meancurv	lh_BA4a_exvivo_meancurv	lh_BA4p_exvivo_meancurv	lh_BA6_exvivo_meancurv	lh_BA44_exvivo_meancurv	lh_BA45_exvivo_meancurv	lh_V1_exvivo_meancurv	lh_V2_exvivo_meancurv	lh_MT_exvivo_meancurv	lh_perirhinal_exvivo_meancurv	lh_entorhinal_exvivo_meancurv	BrainSegVolNotVent	eTIV
sub-0039	0.11	0.111	0.131	0.1	0.09	0.085	0.109	0.107	0.117	0.114	0.134	0.135	0.083	0.112	1067973.0	1442462.66838
sub-0041	0.107	0.105	0.138	0.098	0.089	0.092	0.115	0.107	0.127	0.14	0.145	0.125	0.096	0.14	1117012.0	1513870.08802
sub-0042	0.112	0.109	0.121	0.107	0.084	0.086	0.108	0.117	0.127	0.131	0.152	0.116	0.107	0.128	1139605.0	1546304.60749
sub-0043	0.125	0.117	0.136	0.111	0.136	0.101	0.135	0.124	0.137	0.145	0.148	0.13	0.111	0.154	1093126.0	1488425.96978
sub-0044	0.113	0.111	0.127	0.103	0.096	0.086	0.112	0.1	0.122	0.139	0.143	0.126	0.137	0.156	1141797.0	1570025.48511
sub-0053	0.103	0.112	0.13	0.105	0.075	0.091	0.102	0.117	0.125	0.131	0.138	0.129	0.09	0.147	1047785.0	1563927.20032
sub-0057	0.127	0.113	0.131	0.128	0.152	0.141	0.131	0.123	0.119	0.146	0.152	0.127	0.181	0.166	916095.0	1545364.52291
sub-0058	0.109	0.104	0.144	0.104	0.095	0.098	0.106	0.119	0.144	0.131	0.135	0.127	0.097	0.11	1030574.0	1393762.8743
sub-0060	0.101	0.11	0.138	0.108	0.087	0.09	0.108	0.115	0.122	0.129	0.142	0.129	0.109	0.14	977133.0	1205966.67051
sub-0062	0.121	0.099	0.121	0.103	0.117	0.096	0.108	0.115	0.126	0.135	0.133	0.124	0.114	0.093	1289435.0	1776265.02628
sub-0064	0.117	0.117	0.13	0.108	0.095	0.096	0.108	0.122	0.124	0.138	0.134	0.131	0.065	0.106	1198044.0	3132919.29087
sub-0066	0.104	0.095	0.136	0.093	0.093	0.074	0.113	0.118	0.124	0.116	0.136	0.128	0.088	0.152	1084847.0	1462947.37819
sub-0067	0.128	0.111	0.141	0.087	0.085	0.087	0.11	0.115	0.133	0.134	0.147	0.133	0.101	0.14	1040745.0	1385606.54043
sub-0071	0.108	0.1	0.131	0.094	0.079	0.083	0.113	0.1	0.115	0.124	0.142	0.126	0.09	0.118	1009957.0	1378600.06314
sub-0072	0.111	0.098	0.13	0.094	0.092	0.082	0.113	0.102	0.121	0.126	0.129	0.125	0.109	0.126	1131610.0	1525486.91608
sub-0073	0.092	0.137	0.101	0.093	0.09	0.125	0.08	0.092	0.08	0.168	0.116	0.124	0.08	0.053	428721.0	104144.590512
sub-0077	0.116	0.107	0.138	0.109	0.09	0.087	0.113	0.111	0.138	0.14	0.141	0.13	0.126	0.13	1243118.0	1638396.83303
sub-0078	0.114	0.107	0.141	0.094	0.084	0.082	0.113	0.123	0.136	0.131	0.145	0.141	0.111	0.143	1164610.0	1591966.66264
sub-0079	0.133	0.117	0.135	0.108	0.133	0.101	0.136	0.122	0.138	0.147	0.152	0.133	0.116	0.153	1096560.0	1488425.96978
sub-0080	0.1	0.092	0.131	0.09	0.094	0.082	0.101	0.092	0.123	0.124	0.131	0.129	0.109	0.093	1191370.0	1613504.469
sub-0082	0.109	0.113	0.13	0.096	0.08	0.081	0.109	0.117	0.132	0.136	0.141	0.129	0.1	0.142	1193592.0	1649751.03428
sub-0085	0.134	0.109	0.134	0.128	0.127	0.106	0.14	0.117	0.128	0.139	0.134	0.127	0.118	0.151	1054724.0	1480778.17696
sub-0100	0.126	0.116	0.124	0.097	0.093	0.08	0.117	0.105	0.123	0.131	0.14	0.152	0.093	0.134	1148366.0	1570498.95767
sub-0102	0.106	0.102	0.129	0.105	0.1	0.09	0.114	0.12	0.127	0.136	0.133	0.123	0.11	0.145	1256669.0	1734647.16464
sub-0104	0.102	0.106	0.128	0.105	0.089	0.078	0.106	0.11	0.124	0.123	0.134	0.141	0.102	0.113	1202410.0	1588832.71461
sub-0107	0.106	0.104	0.149	0.099	0.09	0.1	0.112	0.105	0.122	0.129	0.137	0.124	0.107	0.143	1154737.0	1547836.86751
sub-0108	0.113	0.108	0.149	0.114	0.13	0.131	0.12	0.119	0.126	0.138	0.137	0.133	0.102	0.141	1129989.0	1601099.67064
sub-0110	0.115	0.115	0.144	0.122	0.131	0.157	0.152	0.14	0.121	0.152	0.136	0.119	0.136	0.158	1299190.0	1848937.15163
sub-0113	0.118	0.095	0.149	0.107	0.096	0.104	0.114	0.119	0.131	0.134	0.133	0.128	0.105	0.16	917912.0	1401103.92939
sub-0117	0.103	0.11	0.15	0.113	0.1	0.113	0.11	0.109	0.129	0.14	0.145	0.138	0.112	0.135	1046908.0	1439661.79245
sub-0121	0.108	0.107	0.127	0.1	0.076	0.09	0.109	0.11	0.118	0.115	0.147	0.128	0.106	0.141	1045027.0	1405787.88543
sub-0124	0.109	0.105	0.122	0.095	0.103	0.095	0.106	0.107	0.13	0.12	0.128	0.12	0.084	0.103	997073.0	1367328.18002
sub-0128	0.107	0.096	0.146	0.116	0.109	0.108	0.11	0.106	0.127	0.118	0.138	0.134	0.108	0.135	1142571.0	1649933.42236
sub-0130	0.114	0.102	0.128	0.104	0.082	0.082	0.108	0.106	0.116	0.117	0.14	0.125	0.11	0.148	1109147.0	1577833.33762
