rh.aparc.DKTatlas.volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV	rh_temporalpole_volume
sub-0039	1943.0	5581.0	3786.0	1909.0	8106.0	12348.0	11300.0	2266.0	12160.0	9049.0	9882.0	4614.0	11994.0	2643.0	4729.0	5104.0	2084.0	4216.0	2227.0	10685.0	3829.0	12007.0	9357.0	2949.0	10346.0	20765.0	9463.0	15307.0	10064.0	1215.0	6333.0	1067973.0	1442462.66838	0.0
sub-0041	2681.0	6526.0	4975.0	1453.0	9447.0	14352.0	11922.0	2728.0	14237.0	9016.0	7964.0	4315.0	14776.0	1969.0	3544.0	5048.0	2293.0	4936.0	3861.0	7939.0	3432.0	9224.0	10784.0	2560.0	16196.0	30019.0	7218.0	14146.0	6676.0	875.0	5924.0	1117012.0	1513870.08802	0.0
sub-0042	2133.0	6513.0	5205.0	1805.0	8517.0	16610.0	12087.0	3126.0	13529.0	8149.0	9353.0	3863.0	15641.0	2352.0	4444.0	4452.0	2223.0	4754.0	3402.0	10428.0	3965.0	13197.0	12029.0	2197.0	9837.0	24038.0	11205.0	14746.0	10567.0	817.0	6425.0	1139605.0	1546304.60749	0.0
sub-0043	2831.0	8292.0	4534.0	1508.0	7907.0	14391.0	11149.0	2185.0	12478.0	8883.0	8118.0	4246.0	14126.0	2134.0	3900.0	3814.0	2183.0	3354.0	2547.0	9373.0	3921.0	13408.0	9956.0	3009.0	11160.0	26244.0	9896.0	12717.0	8150.0	774.0	6430.0	1093126.0	1488425.96978	0.0
sub-0044	2172.0	3484.0	3121.0	1552.0	8836.0	18741.0	14247.0	2274.0	12397.0	8773.0	7466.0	3599.0	17809.0	2106.0	3970.0	4872.0	2958.0	5515.0	1701.0	9142.0	4266.0	12304.0	9904.0	2124.0	12586.0	28922.0	11201.0	15125.0	9568.0	978.0	7289.0	1141797.0	1570025.48511	0.0
sub-0053	3346.0	5793.0	3524.0	1720.0	8117.0	12790.0	11132.0	1958.0	13607.0	7578.0	4771.0	4416.0	12929.0	1859.0	4015.0	3919.0	1625.0	3331.0	1901.0	9045.0	3784.0	13229.0	9690.0	3191.0	9183.0	23496.0	9764.0	15306.0	9611.0	866.0	6258.0	1047785.0	1563927.20032	0.0
sub-0057	2227.0	6084.0	3844.0	1347.0	8915.0	10692.0	10671.0	2232.0	13126.0	8811.0	6723.0	4985.0	13568.0	2337.0	3511.0	4421.0	2420.0	4145.0	2559.0	8420.0	2920.0	11060.0	9716.0	2304.0	9972.0	24063.0	8989.0	13604.0	9058.0	917.0	6492.0	916095.0	1545364.52291	0.0
sub-0058	1949.0	6343.0	3805.0	1825.0	7945.0	15229.0	11536.0	2813.0	13360.0	8454.0	7527.0	4474.0	15854.0	2656.0	4095.0	4107.0	1937.0	3289.0	2625.0	8897.0	2990.0	11853.0	8870.0	2354.0	8898.0	25154.0	8829.0	14694.0	7599.0	887.0	6306.0	1030574.0	1393762.8743	0.0
sub-0060	1808.0	4302.0	3867.0	1536.0	7268.0	13930.0	12557.0	1764.0	12310.0	8788.0	6096.0	3970.0	13665.0	1874.0	3651.0	4088.0	1916.0	3676.0	2231.0	9569.0	2723.0	11493.0	9509.0	2643.0	10284.0	22006.0	9135.0	15495.0	10201.0	900.0	6002.0	977133.0	1205966.67051	0.0
sub-0062	2031.0	6126.0	4847.0	2517.0	9938.0	18688.0	16557.0	2758.0	15347.0	10069.0	8932.0	5120.0	15623.0	2448.0	4490.0	5495.0	2365.0	5194.0	3356.0	10745.0	3650.0	13705.0	10620.0	2701.0	15520.0	32533.0	10729.0	17002.0	8473.0	807.0	8450.0	1289435.0	1776265.02628	0.0
