lh.BA_exvivo.meancurv	lh_BA1_exvivo_meancurv	lh_BA2_exvivo_meancurv	lh_BA3a_exvivo_meancurv	lh_BA3b_exvivo_meancurv	lh_BA4a_exvivo_meancurv	lh_BA4p_exvivo_meancurv	lh_BA6_exvivo_meancurv	lh_BA44_exvivo_meancurv	lh_BA45_exvivo_meancurv	lh_V1_exvivo_meancurv	lh_V2_exvivo_meancurv	lh_MT_exvivo_meancurv	lh_perirhinal_exvivo_meancurv	lh_entorhinal_exvivo_meancurv	BrainSegVolNotVent	eTIV
sub-0002	0.105	0.116	0.136	0.112	0.09	0.097	0.118	0.123	0.126	0.123	0.129	0.14	0.102	0.132	1132588.0	1560423.69239
sub-0004	0.101	0.106	0.152	0.117	0.143	0.15	0.112	0.119	0.121	0.136	0.126	0.13	0.122	0.135	1026369.0	1521868.12825
sub-0005	0.121	0.123	0.145	0.119	0.107	0.116	0.117	0.106	0.13	0.143	0.139	0.133	0.111	0.158	1238394.0	1605356.27467
sub-0006	0.133	0.12	0.127	0.124	0.121	0.124	0.125	0.126	0.133	0.14	0.144	0.116	0.127	0.125	844572.0	1241767.03572
sub-0008	0.12	0.111	0.139	0.11	0.093	0.119	0.121	0.11	0.127	0.144	0.141	0.13	0.132	0.103	1155014.0	1528850.14784
sub-0009	0.132	0.122	0.134	0.128	0.098	0.09	0.116	0.112	0.128	0.145	0.14	0.136	0.102	0.148	905797.0	1188125.24385
sub-0012	0.112	0.097	0.142	0.095	0.101	0.096	0.114	0.119	0.127	0.124	0.14	0.126	0.097	0.098	1000580.0	1323749.89026
sub-0014	0.102	0.105	0.137	0.098	0.12	0.121	0.108	0.103	0.121	0.131	0.131	0.139	0.096	0.132	1203417.0	1691121.35817
sub-0015	0.104	0.12	0.125	0.103	0.085	0.083	0.11	0.128	0.136	0.148	0.149	0.138	0.105	0.1	936445.0	1322184.8158
sub-0021	0.115	0.093	0.13	0.092	0.1	0.079	0.107	0.113	0.13	0.122	0.146	0.127	0.096	0.118	1184760.0	1598748.22732
sub-0022	0.136	0.1	0.132	0.092	0.098	0.093	0.114	0.114	0.129	0.133	0.137	0.121	0.119	0.126	851374.0	1240512.30826
sub-0023	0.095	0.112	0.136	0.115	0.126	0.084	0.115	0.116	0.135	0.134	0.139	0.127	0.125	0.137	1033882.0	1385509.27081
sub-0024	0.107	0.104	0.151	0.099	0.107	0.095	0.109	0.112	0.131	0.127	0.13	0.127	0.11	0.136	959563.0	1341646.1052
sub-0025	0.11	0.112	0.143	0.104	0.109	0.092	0.112	0.119	0.123	0.15	0.153	0.133	0.108	0.09	1273595.0	1687128.12657
sub-0026	0.124	0.106	0.144	0.1	0.102	0.083	0.106	0.106	0.124	0.126	0.137	0.109	0.108	0.158	876038.0	1325380.58714
sub-0027	0.114	0.112	0.145	0.11	0.107	0.1	0.111	0.121	0.135	0.13	0.135	0.129	0.087	0.096	1172863.0	1678632.04462
sub-0028	0.121	0.107	0.147	0.105	0.093	0.098	0.109	0.114	0.126	0.137	0.138	0.122	0.104	0.09	1213031.0	1641653.20561
sub-0029	0.115	0.106	0.123	0.101	0.089	0.088	0.107	0.103	0.131	0.129	0.144	0.138	0.129	0.156	1205515.0	1702103.51779
sub-0030	0.122	0.109	0.156	0.1	0.105	0.09	0.105	0.11	0.117	0.133	0.139	0.138	0.089	0.139	1069731.0	1548744.88295
sub-0031	0.109	0.118	0.134	0.114	0.111	0.104	0.12	0.121	0.138	0.128	0.142	0.139	0.128	0.118	1179731.0	1679328.42642
sub-0034	0.131	0.106	0.152	0.128	0.12	0.123	0.123	0.123	0.139	0.141	0.148	0.129	0.119	0.094	1059070.0	1406057.61297
sub-0035	0.112	0.108	0.138	0.108	0.116	0.109	0.123	0.122	0.133	0.135	0.14	0.132	0.116	0.133	953998.0	1402443.17537
sub-0037	0.107	0.096	0.122	0.095	0.088	0.092	0.11	0.106	0.128	0.113	0.134	0.13	0.104	0.146	1057582.0	1460420.46078
sub-0038	0.112	0.126	0.133	0.103	0.088	0.099	0.116	0.123	0.137	0.133	0.148	0.13	0.112	0.15	1117221.0	1469905.34571
sub-0040	0.102	0.106	0.141	0.114	0.086	0.095	0.11	0.111	0.116	0.12	0.135	0.123	0.124	0.142	1387112.0	2008122.56093
sub-0047	0.111	0.113	0.126	0.115	0.102	0.113	0.127	0.129	0.127	0.122	0.131	0.127	0.108	0.126	1236163.0	1862809.15895
sub-0051	0.103	0.107	0.136	0.103	0.087	0.093	0.104	0.112	0.122	0.126	0.129	0.13	0.091	0.14	1006053.0	1430555.97928
sub-0052	0.122	0.113	0.14	0.114	0.084	0.1	0.12	0.121	0.141	0.126	0.144	0.141	0.093	0.146	1041570.0	1395517.23583
sub-0068	0.11	0.112	0.146	0.109	0.109	0.104	0.111	0.119	0.135	0.133	0.136	0.127	0.092	0.1	1180059.0	1678632.04462
sub-0075	0.112	0.114	0.143	0.11	0.109	0.106	0.111	0.118	0.134	0.132	0.134	0.129	0.101	0.103	1171810.0	1678632.04462
sub-0076	0.107	0.118	0.143	0.108	0.12	0.111	0.112	0.119	0.127	0.158	0.137	0.118	0.096	0.109	1150115.0	1431220.25529
sub-0094	0.112	0.126	0.129	0.105	0.087	0.096	0.117	0.119	0.139	0.131	0.147	0.129	0.102	0.151	1115478.0	1469905.34571
sub-0096	0.135	0.116	0.134	0.115	0.125	0.112	0.128	0.131	0.13	0.127	0.147	0.121	0.142	0.173	1104688.0	1777406.99215
sub-0098	0.109	0.104	0.134	0.097	0.086	0.087	0.104	0.096	0.117	0.131	0.134	0.118	0.091	0.1	1182058.0	1569381.52002
sub-0109	0.113	0.11	0.152	0.103	0.095	0.09	0.108	0.114	0.128	0.14	0.143	0.122	0.101	0.149	994187.0	1364864.46494
sub-0111	0.121	0.114	0.133	0.108	0.099	0.1	0.112	0.11	0.131	0.125	0.134	0.14	0.106	0.133	1137362.0	1628718.07926
sub-0118	0.103	0.109	0.136	0.102	0.09	0.102	0.108	0.13	0.122	0.136	0.131	0.129	0.123	0.135	1178520.0	1544369.68035
sub-0125	0.129	0.113	0.124	0.106	0.115	0.11	0.109	0.115	0.136	0.126	0.141	0.121	0.096	0.12	1101338.0	1466128.47666
sub-0129	0.109	0.107	0.132	0.098	0.078	0.095	0.118	0.111	0.14	0.124	0.131	0.125	0.103	0.11	984519.0	1469882.3409
sub-0132	0.123	0.119	0.146	0.117	0.109	0.109	0.123	0.114	0.135	0.144	0.136	0.138	0.131	0.139	958315.0	1473992.16227
sub-0136	0.106	0.105	0.132	0.097	0.091	0.076	0.114	0.125	0.133	0.125	0.137	0.124	0.098	0.1	1079576.0	1428042.90976
sub-1000	0.137	0.108	0.127	0.102	0.102	0.09	0.11	0.122	0.133	0.136	0.143	0.153	0.124	0.14	1062111.0	1656445.76292
